PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck
1,0,3,male,22.0,1,0,7.25,s,Unknown
2,1,1,female,38.0,1,0,71.2833,c,C
3,1,3,female,26.0,0,0,7.925,s,Unknown
4,1,1,female,35.0,1,0,53.1,s,C
5,0,3,male,35.0,0,0,8.05,s,Unknown
6,0,3,male,25.0,0,0,8.4583,q,Unknown
7,0,1,male,54.0,0,0,51.8625,s,E
8,0,3,male,2.0,3,1,21.075,s,Unknown
9,1,3,female,27.0,0,2,11.1333,s,Unknown
10,1,2,female,14.0,1,0,30.0708,c,Unknown
11,1,3,female,4.0,1,1,16.7,s,G
12,1,1,female,58.0,0,0,26.55,s,C
13,0,3,male,20.0,0,0,8.05,s,Unknown
14,0,3,male,39.0,1,5,31.275,s,Unknown
15,0,3,female,14.0,0,0,7.8542,s,Unknown
16,1,2,female,55.0,0,0,16.0,s,Unknown
17,0,3,male,2.0,4,1,29.125,q,Unknown
18,1,2,male,30.0,0,0,13.0,s,Unknown
19,0,3,female,31.0,1,0,18.0,s,Unknown
20,1,3,female,21.5,0,0,7.225,c,Unknown
21,0,2,male,35.0,0,0,26.0,s,Unknown
22,1,2,male,34.0,0,0,13.0,s,D
23,1,3,female,15.0,0,0,8.0292,q,Unknown
24,1,1,male,28.0,0,0,35.5,s,A
25,0,3,female,8.0,3,1,21.075,s,Unknown
26,1,3,female,38.0,1,5,31.3875,s,Unknown
27,0,3,male,25.0,0,0,7.225,c,Unknown
28,0,1,male,19.0,3,2,249.00622000000035,s,C
29,1,3,female,21.5,0,0,7.8792,q,Unknown
30,0,3,male,25.0,0,0,7.8958,s,Unknown
31,0,1,male,40.0,0,0,27.7208,c,Unknown
32,1,1,female,35.0,1,0,146.5208,c,B
33,1,3,female,21.5,0,0,7.75,q,Unknown
34,0,2,male,66.0,0,0,10.5,s,Unknown
35,0,1,male,28.0,1,0,82.1708,c,Unknown
36,0,1,male,42.0,1,0,52.0,s,Unknown
37,1,3,male,25.0,0,0,7.2292,c,Unknown
38,0,3,male,21.0,0,0,8.05,s,Unknown
39,0,3,female,18.0,2,0,18.0,s,Unknown
40,1,3,female,14.0,1,0,11.2417,c,Unknown
